THE    DH_IY
MEAL'S    M_IY IY_L L_Z
MEAGRENESS    M_IY IY_G G_R R_N N_AH AH_S
MEAGRELY    M_IY IY_G G_R R_L L_IY
MEAGERNESS    M_IY IY_G G_UH UH_R R_N N_AH AH_S
MEADE    M_IY IY_D
MEA    M_IY
MAZZINI    M_AA AA_T T_S S_IY IY_N N_IY
MAZURKAS    M_AH AH_Z Z_UH UH_R R_K K_AH AH_Z
MAZARINE    M_AH AH_Z Z_UH UH_R R_IY IY_N
MAY'ST    M_EH EH_IY IY_S S_T
MAYRE    M_EH EH_IY IY_R
MAYORS    M_EH EH_IY IY_UH UH_R R_Z
MAYORALTY    M_EH EH_IY IY_UH UH_R R_AH AH_L L_T T_IY
MAYORAL    M_EH EH_IY IY_UH UH_R R_AH AH_L
MAYHEW    M_EH EH_IY IY_HH HH_Y Y_UW
MAYHAPPEN    M_EH EH_IY IY_HH HH_AE AE_P P_AH AH_N
MAYFLOWERS    M_EH EH_IY IY_F F_L L_AA AA_UH UH_UH UH_R R_Z
MAYFIELD'S    M_EH EH_IY IY_F F_IY IY_L L_D D_Z
MAYFIELDS    M_EH EH_IY IY_F F_IY IY_L L_D D_Z
MAYER    M_EH EH_IY IY_UH UH_R
MAYDAY    M_EH EH_IY IY_D D_EH EH_IY
MAYAN    M_AA AA_IY IY_AH AH_N
MAYAKIN    M_AA AA_IY IY_AH AH_K K_IH IH_N
MAXIMUMS    M_AE AE_K K_S S_AH AH_M M_AH AH_M M_Z
MAXIMO    M_AE AE_K K_S S_AH AH_M M_AO AO_UH
MAXILLARY    M_AE AE_K K_S S_AH AH_L L_EH EH_R R_IY
MAWS    M_AO AO_Z
MAWNIN    M_AA AA_N N_IH IH_N
MAWKISHLY    M_AO AO_K K_IH IH_SH SH_L L_IY
MAWKISH    M_AO AO_K K_IH IH_SH
MAURE    M_AO AO_R
MAULING    M_AA AA_UH UH_L L_IH IH_NG
MAUCH    M_AO AO_CH
MATURES    M_AH AH_T T_Y Y_UH UH_R R_Z
MATTY'S    M_AE AE_T T_IY IY_Z
MATTY    M_AE AE_T T_IY
MATT'S    M_AE AE_T T_Z
MATTOCKS    M_AE AE_T T_AH AH_K K_S
MATTOCK    M_AE AE_T T_AH AH_K
MATTHIAS'S    M_AH AH_TH TH_AA AA_IY IY_AH AH_S S_IH IH_Z
MATTER'S    M_AE AE_T T_UH UH_R R_Z
MATTERING    M_AE AE_T T_UH UH_R R_IH IH_NG
MATTAWA    M_AE AE_T T_AH AH_W W_AA
MATSURI    M_AA AA_T T_S S_UW UW_R R_IY
MATSON    M_AA AA_T T_S S_AH AH_N
MATRON'S    M_EH EH_IY IY_T T_R R_AH AH_N N_Z
MATRICULATING    M_AH AH_T T_R R_IH IH_K K_Y Y_AH AH_L L_EH EH_IY IY_T T_IH IH_NG
MATRIARCHAL    M_EH EH_IY IY_T T_R R_IY IY_AA AA_R R_K K_AH AH_L
MATHIEU'S    M_AE AE_TH TH_Y Y_UW UW_Z
MATHEWSON    M_AE AE_TH TH_Y Y_UW UW_S S_AH AH_N
MATHEWS    M_AE AE_TH TH_Y Y_UW UW_Z
MATHESON    M_AE AE_TH TH_AH AH_S S_AH AH_N
MATHER    M_AE AE_DH DH_UH UH_R
MATETE    M_AH AH_T T_EH EH_T
MATE'S    M_EH EH_IY IY_T T_S
MATERIALITY    M_AH AH_T T_IH IH_R R_IY IY_AE AE_L L_IH IH_T T_IY
MATERIALISED    M_AH AH_T T_IH IH_R R_IY IY_AH AH_L L_AA AA_IY IY_Z Z_D
MATERIALISATION    M_AH AH_T T_IH IH_R R_IY IY_AH AH_L L_IH IH_Z Z_EH EH_IY IY_SH SH_AH AH_N
MATCHMAKING    M_AE AE_CH CH_M M_EH EH_IY IY_K K_IH IH_NG
MATCH'D    M_AE AE_CH CH_IH IH_D
MATANZAS    M_AH AH_T T_AE AE_N N_Z Z_AH AH_Z
MATAMORAS    M_AA AA_T T_AA AA_M M_AO AO_R R_AH AH_Z
MASTRO    M_AE AE_S S_T T_R R_AO AO_UH
MASTIFF'S    M_AE AE_S S_T T_AH AH_F F_S
MASTIFFS    M_AE AE_S S_T T_AH AH_F F_S
MASTICATION    M_AE AE_S S_T T_AH AH_K K_EH EH_IY IY_SH SH_AH AH_N
MASTICATING    M_AE AE_S S_T T_AH AH_K K_EH EH_IY IY_T T_IH IH_NG
MASTIC    M_AE AE_S S_T T_IH IH_K
MASSR    M_AE AE_S S_R
MASSIVELY    M_AE AE_S S_IH IH_V V_L L_IY
MASSILLON    M_AE AE_S S_IY IY_L L_AO AO_N
MASSEY'S    M_AE AE_S S_IY IY_Z
MASSAGED    M_AH AH_S S_AA AA_ZH ZH_D
MASQUES    M_AE AE_S S_K K_S
MASQUERADED    M_AE AE_S S_K K_UH UH_R R_EH EH_IY IY_D D_IH IH_D
MASPERO    M_AH AH_S S_P P_EH EH_R R_AO AO_UH
MASONRIES    M_EH EH_IY IY_S S_AH AH_N N_R R_IY IY_Z
MASKING    M_AE AE_S S_K K_IH IH_NG
MASKER    M_AE AE_S S_K K_UH UH_R
MASHER    M_AE AE_SH SH_UH UH_R
MASCULINITY    M_AE AE_S S_K K_Y Y_AH AH_L L_IH IH_N N_AH AH_T T_IY
MASCULINES    M_AE AE_S S_K K_Y Y_AH AH_L L_AH AH_N N_Z
MASACCIO    M_AA AA_S S_AA AA_CH CH_IY IY_AO AO_UH
MA'S    M_AH AH_Z
MARYSVILLE    M_EH EH_R R_IY IY_Z Z_V V_IH IH_L
MARX    M_AA AA_R R_K K_S
MARUTS    M_UH UH_R R_UW UW_T T_S
MARTYRDOMS    M_AA AA_R R_T T_UH UH_R R_D D_AH AH_M M_Z
MARTS    M_AA AA_R R_T T_S
MARTLET    M_AA AA_R R_T T_L L_AH AH_T
MARTINS    M_AA AA_R R_T T_IH IH_N N_Z
MARTINICO    M_AA AA_R R_T T_IH IH_N N_IY IY_K K_AO AO_UH
MARTINGALE    M_AA AA_R R_T T_IH IH_NG NG_EH EH_IY IY_L
MARTINETS    M_AA AA_R R_T T_IY IY_N N_EH EH_T T_S
MARTIGUES    M_AA AA_R R_T T_IY IY_G G_Z
MARTIALS    M_AA AA_R R_SH SH_AH AH_L L_Z
MARTIALED    M_AA AA_R R_SH SH_AH AH_L L_D
MARTELL    M_AA AA_R R_T T_EH EH_L
MARTEL    M_AA AA_R R_T T_EH EH_L
MARSUPIAL    M_AA AA_R R_S S_UW UW_P P_IY IY_AH AH_L
MARSHPEES    M_AA AA_R R_SH SH_P P_IY IY_Z
MARSHPEE    M_AA AA_R R_SH SH_P P_IY
MARSHMALLOWS    M_AA AA_R R_SH SH_M M_EH EH_L L_AO AO_UH UH_Z
MARSHLANDS    M_AA AA_R R_SH SH_L L_AE AE_N N_D D_Z
MARSHALL'S    M_AA AA_R R_SH SH_AH AH_L L_Z
MARSHALED    M_AA AA_R R_SH SH_AH AH_L L_D
MARSFIELD    M_AA AA_R R_S S_F F_IY IY_L L_D
MARSEILLAISE    M_AA AA_R R_S S_AA AA_IY IY_L L_EH EH_IY IY_Z
MARRYIN    M_EH EH_R R_IY IY_IH IH_N
MARRYAT'S    M_AE AE_R R_IY IY_AE AE_T T_S
MARQUISES    M_AA AA_R R_K K_W W_AA AA_IY IY_Z Z_AH AH_Z
MARQUESAN    M_AA AA_R R_K K_W W_AH AH_S S_AH AH_N
MAROONED    M_UH UH_R R_UW UW_N N_D
MARO    M_AA AA_R R_AO AO_UH
MARNIX    M_AA AA_R R_N N_IH IH_K K_S
MARMOTS    M_AA AA_R R_M M_AH AH_T T_S
MARMALADES    M_AA AA_R R_M M_AH AH_L L_EH EH_IY IY_D D_Z
MARLS    M_AA AA_R R_L L_Z
MARLOW'S    M_AA AA_R R_L L_AO AO_UH UH_Z
MARLOWE    M_AA AA_R R_L L_AO AO_UH
MARLOW    M_AA AA_R R_L L_AO AO_UH
MARLINE    M_AA AA_R R_L L_AA AA_IY IY_N
MARLBOROUGH'S    M_AA AA_R R_L L_B B_UH UH_R R_AO AO_UH UH_Z
MARLANX'S    M_AA AA_R R_L L_AE AE_NG NG_K K_S S_IH IH_Z
MARKSMANSHIP    M_AA AA_R R_K K_S S_M M_AH AH_N N_SH SH_IH IH_P
MARKSMAN    M_AA AA_R R_K K_S S_M M_AH AH_N
MARKLAND    M_AA AA_R R_K K_L L_AH AH_N N_D
MARKETINGS    M_AA AA_R R_K K_AH AH_T T_IH IH_NG NG_Z
MARK'D    M_AA AA_R R_K K_D
MARJORY    M_AA AA_R R_JH JH_R R_IY
MARJORAM    M_AA AA_JH JH_UH UH_R R_AH AH_M
MARIT    M_EH EH_R R_IH IH_T
MARION'S    M_EH EH_R R_IY IY_AH AH_N N_Z
MARINUS    M_UH UH_R R_IY IY_N N_AH AH_S
MARINA    M_UH UH_R R_IY IY_N N_AH
MARILYN'S    M_EH EH_R R_AH AH_L L_IH IH_N N_Z
MARIETTA    M_EH EH_R R_IY IY_EH EH_T T_AH
MARIAN'S    M_EH EH_R R_IY IY_AH AH_N N_Z
MARIAMNE    M_EH EH_R R_IY IY_AE AE_M M_N
MARGHERITA    M_UH UH_R R_G G_UH UH_R R_IY IY_T T_AH
MARGHARITA    M_AA AA_R R_G G_AA AA_R R_IY IY_T T_AH
MARGES    M_AA AA_R R_JH JH_IH IH_Z
MARGARITA    M_AA AA_R R_G G_UH UH_R R_IY IY_T T_AH
MARENGO    M_AA AA_R R_EH EH_NG NG_G G_AO AO_UH
MAREMMA    M_UH UH_R R_EH EH_M M_AH
MARDUK    M_AA AA_R R_D D_AH AH_K
MARDEN'S    M_AA AA_R R_D D_AH AH_N N_Z
MARCONI    M_AA AA_R R_K K_AO AO_UH UH_N N_IY
MARCOBRUNNER    M_AA AA_R R_K K_AO AO_UH UH_B B_R R_AH AH_N N_UH UH_R
MARCHESA    M_AA AA_R R_K K_EH EH_S S_AH
MARCA    M_AA AA_R R_K K_AH
MARAVEDIS    M_AA AA_R R_AA AA_V V_EH EH_IY IY_D D_IH IH_S
MARAUD    M_UH UH_R R_AO AO_D
MARAT'S    M_UH UH_R R_AA AA_T T_S
MARASCHINO    M_AE AE_R R_AH AH_S S_K K_IY IY_N N_AO AO_UH
MARA'S    M_EH EH_R R_AH AH_Z
MARANON    M_EH EH_R R_AH AH_N N_AA AA_N
MARACAIBO    M_AA AA_R R_AA AA_K K_AA AA_IY IY_B B_AO AO_UH
MAQUAS    M_AH AH_K K_W W_AH AH_Z
MAPLE'S    M_EH EH_IY IY_P P_AH AH_L L_Z
MANUEL    M_AA AA_N N_W W_EH EH_L
MANTO    M_AE AE_N N_T T_AO AO_UH
MANTELISH'S    M_AA AA_N N_T T_EH EH_L L_IH IH_SH SH_IH IH_Z
MANTELET    M_AE AE_N N_T T_L L_AH AH_T
MANSLAYER    M_AE AE_N N_S S_L L_EH EH_IY IY_UH UH_R
MANOUVRE    M_AA AA_N N_UW UW_V V_R R_AH
MANORS    M_AE AE_N N_UH UH_R R_Z
MANON'S    M_AE AE_N N_AH AH_N N_Z
MANOMET    M_AE AE_N N_AH AH_M M_EH EH_T
MANOEUVRES    M_AE AE_N N_UH UH_R R_V V_Z
MANOEUVRED    M_AE AE_N N_UH UH_R R_V V_D
MANOEUVERING    M_AE AE_N N_UW UW_V V_UH UH_R R_IH IH_NG
MANNING'S    M_AE AE_N N_IH IH_NG NG_Z
MANNINGHAM    M_AE AE_N N_IH IH_NG NG_HH HH_AE AE_M
MANNERISMS    M_AE AE_N N_UH UH_R R_IH IH_Z Z_AH AH_M M_Z
MANNAHATTA    M_AE AE_N N_AH AH_HH HH_AA AA_T T_AH
MANLINESS    M_AE AE_N N_L L_IY IY_N N_AH AH_S
MANLIKE    M_AE AE_N N_L L_AA AA_IY IY_K
MANLIEST    M_AE AE_N N_L L_IY IY_AH AH_S S_T
MANLESS    M_AE AE_N N_L L_AH AH_S
MANITOU    M_AE AE_N N_AH AH_T T_UW
MANITOBA    M_AE AE_N N_IH IH_T T_AO AO_UH UH_B B_AH
MANIPULATORS    M_AH AH_N N_IH IH_P P_Y Y_AH AH_L L_EH EH_IY IY_T T_UH UH_R R_Z
MANIPULATOR    M_AH AH_N N_IH IH_P P_Y Y_AH AH_L L_EH EH_IY IY_T T_UH UH_R
MANIPULATIONS    M_AH AH_N N_IH IH_P P_Y Y_AH AH_L L_EH EH_IY IY_SH SH_AH AH_N N_Z
MANICHEAN    M_AA AA_N N_IY IY_K K_IY IY_AH AH_N
MANICHAEANS    M_AE AE_N N_AH AH_CH CH_IY IY_AH AH_N N_Z
MANIAC'S    M_EH EH_IY IY_N N_IY IY_AE AE_K K_S
MANHOLE    M_AE AE_N N_HH HH_AO AO_UH UH_L
MANHATTOES    M_AE AE_N N_HH HH_AE AE_T T_AO AO_UH UH_Z
MANHANDLING    M_AE AE_N N_HH HH_AE AE_N N_D D_L L_IH IH_NG
MANGROVES    M_AE AE_N N_G G_R R_AO AO_UH UH_V V_Z
MANGROVE    M_AE AE_NG NG_G G_R R_AO AO_UH UH_V
MANGO    M_AE AE_NG NG_G G_AO AO_UH
MANGLE    M_AE AE_NG NG_G G_AH AH_L
MANGEL    M_EH EH_IY IY_NG NG_G G_AH AH_L
MANGANESE    M_AE AE_NG NG_G G_AH AH_N N_IY IY_Z
MANFUL    M_AE AE_N N_F F_AH AH_L
MANEUVRES    M_AH AH_N N_UW UW_V V_R R_AH AH_S
MANETTE'S    M_AH AH_N N_EH EH_T T_S
MANDIBLES    M_AE AE_N N_D D_IH IH_B B_AH AH_L L_Z
MANDEVILLE    M_AE AE_N N_D D_AH AH_V V_IH IH_L
MANDERSON'S    M_AE AE_N N_D D_UH UH_R R_S S_AH AH_N N_Z
MANDEB    M_AE AE_N N_D D_AH AH_B
MANDARIN    M_AE AE_N N_D D_UH UH_R R_AH AH_N
MANCO    M_AE AE_NG NG_K K_AO AO_UH
MANCHURIAN    M_AE AE_N N_CH CH_UH UH_R R_IY IY_AH AH_N
MANCHETS    M_AE AE_N N_CH CH_IH IH_T T_S
MANATEES    M_AE AE_N N_AH AH_T T_IY IY_Z
MANASSES    M_AH AH_N N_AA AA_S S_IH IH_Z
MANACLES    M_AE AE_N N_AH AH_K K_AH AH_L L_Z
MAMSIE'S    M_AE AE_M M_S S_IY IY_Z
MAM'SELLE    M_AE AE_M M_Y Y_UW UW_Z Z_EH EH_L
MAMORE    M_AA AA_M M_AO AO_R
MAMMOTHS    M_AE AE_M M_AH AH_TH TH_S
MAMMIFEROUS    M_AE AE_M M_IH IH_F F_UH UH_R R_AH AH_S
MAMMIES    M_AE AE_M M_IY IY_Z
MAMMALIA    M_AH AH_M M_EH EH_IY IY_L L_Y Y_AH
MA'M    M_M
MALVOLIO    M_AE AE_L L_V V_AH AH_L L_IY IY_AO AO_UH
MALVERSATION    M_AE AE_L L_V V_UH UH_R R_S S_EH EH_IY IY_SH SH_AH AH_N
MALVA    M_AA AA_L L_V V_AH
MALTREATS    M_AE AE_L L_T T_R R_IY IY_T T_S
MALTREATMENT    M_AE AE_L L_T T_R R_IY IY_T T_M M_AH AH_N N_T
MALTREAT    M_AE AE_L L_T T_R R_IY IY_T
MALTING    M_AO AO_L L_T T_IH IH_NG
MALTHUS'S    M_AE AE_L L_T T_HH HH_AH AH_S S_IH IH_Z
MALTA'S    M_AE AE_L L_T T_AH AH_Z
MALMSEY    M_AE AE_L L_M M_S S_IY
MALLINGER    M_AO AO_L L_IH IH_NG NG_UH UH_R
MALLEE    M_AE AE_L L_IY
MALINGERER    M_AE AE_L L_IH IH_N N_JH JH_UH UH_R R_UH UH_R
MALINES    M_AA AA_L L_IY IY_N N_Z
MALIGNS    M_AH AH_L L_AA AA_IY IY_N N_Z
MALIGNITIES    M_AH AH_L L_IH IH_G G_N N_AH AH_T T_IY IY_Z
MALIGNANTS    M_AH AH_L L_IH IH_G G_N N_AH AH_N N_T T_S
MALIGNANTLY    M_AH AH_L L_IH IH_G G_N N_AH AH_N N_T T_L L_IY
MALIGN    M_AH AH_L L_AA AA_IY IY_N
MALICIOUSNESS    M_AH AH_L L_IH IH_SH SH_AH AH_S S_N N_AH AH_S
MALICHUS    M_AH AH_L L_IH IH_CH CH_AH AH_S
MALIC    M_AE AE_L L_IH IH_K
MALIBRAN    M_AE AE_L L_AH AH_B B_R R_AH AH_N
MALIAN    M_EH EH_IY IY_L L_Y Y_AH AH_N
MALHOMME    M_AE AE_L L_HH HH_AH AH_M
MALFORMED    M_AE AE_L L_F F_AO AO_R R_M M_D
MALEVOLENTLY    M_AH AH_L L_EH EH_V V_AH AH_L L_AH AH_N N_T T_L L_IY
MALEFICENT    M_AE AE_L L_AH AH_F F_AH AH_S S_AH AH_N N_T
MALEDICTION    M_AE AE_L L_AH AH_D D_IH IH_K K_SH SH_AH AH_N
MALECONTENTS    M_AE AE_L L_AH AH_K K_AA AA_N N_T T_EH EH_N N_T T_S
MALECONTENT    M_AE AE_L L_AH AH_K K_AA AA_N N_T T_EH EH_N N_T
MALEBOLGE    M_AH AH_L L_EH EH_B B_AO AO_UH UH_L L_JH
MALDON'S    M_AE AE_L L_D D_AH AH_N N_Z
MALDEN    M_AO AO_L L_D D_AH AH_N
MALCOLM'S    M_AE AE_L L_K K_AH AH_M M_Z
MALAYAN    M_AH AH_L L_EH EH_IY IY_AH AH_N
MALARIAL    M_AH AH_L L_EH EH_R R_IY IY_AH AH_L
MALAPROP    M_AE AE_L L_AH AH_P P_R R_AA AA_P
MALAMUTES    M_AE AE_L L_AH AH_M M_Y Y_UW UW_T T_S
MALAISE    M_AE AE_L L_EH EH_IY IY_Z
MALAGARAZI    M_AE AE_L L_AH AH_G G_AH AH_R R_AA AA_Z Z_IY
MALADES    M_AH AH_L L_EH EH_IY IY_D D_Z
MALACHITE    M_AH AH_L L_AH AH_HH HH_AA AA_IY IY_T
MALACCA    M_AH AH_L L_AE AE_K K_AH
MALA    M_AA AA_L L_AH
MAKEST    M_AE AE_K K_IH IH_S S_T
MAKESHIFTS    M_EH EH_IY IY_K K_SH SH_IH IH_F F_T T_S
MAJORITIES    M_AH AH_JH JH_AO AO_R R_IH IH_T T_IY IY_Z
MAJESTIE'S    M_AH AH_JH JH_EH EH_S S_T T_IY IY_Z
MAJESTICK    M_AH AH_JH JH_EH EH_S S_T T_IH IH_K
MAJA    M_AA AA_IY IY_AH
MAISTLY    M_EH EH_IY IY_S S_T T_L L_IY
MAISTER'S    M_EH EH_IY IY_S S_T T_UH UH_R R_Z
MAISIE'S    M_EH EH_IY IY_Z Z_IY IY_Z
MAISE    M_EH EH_IY IY_Z
MAIRE'S    M_EH EH_IY IY_R R_Z
MAINTOPMAST    M_AH AH_N N_T T_AA AA_P P_M M_AH AH_S S_T
MAINTOP    M_AH AH_N N_T T_AA AA_P
MAINTENON    M_EH EH_IY IY_N N_T T_IH IH_N N_AH AH_N
MAINSTAY    M_EH EH_IY IY_N N_S S_T T_EH EH_IY
MAINSAILS    M_EH EH_IY IY_N N_S S_EH EH_IY IY_L L_Z
MAINE'S    M_EH EH_IY IY_N N_Z
MAIMS    M_EH EH_IY IY_M M_Z
MAIMING    M_EH EH_IY IY_M M_IH IH_NG
MAIM    M_EH EH_IY IY_M
MAILING    M_EH EH_IY IY_L L_IH IH_NG
MAILE    M_EH EH_IY IY_L
MAIDSERVANTS    M_EH EH_IY IY_D D_Z Z_UH UH_R R_V V_AH AH_N N_T T_S
MAIDENHAIR    M_EH EH_IY IY_D D_AH AH_N N_HH HH_EH EH_R
MAIDAN    M_EH EH_IY IY_D D_AH AH_N
MAIA'S    M_EH EH_AH AH_Z
MAHOMMEDANS    M_AH AH_HH HH_AA AA_M M_AH AH_D D_AH AH_N N_Z
MAHOMMEDANISM    M_AH AH_HH HH_AA AA_M M_AH AH_D D_AH AH_N N_IH IH_Z Z_AH AH_M
MAHOMET'S    M_AH AH_HH HH_AA AA_M M_AH AH_T T_S
MAHN    M_AE AE_N
MAHL    M_AA AA_L
MAHARBAL    M_AH AH_HH HH_AA AA_R R_B B_AH AH_L
MAHARAJAH    M_AA AA_HH HH_UH UH_R R_AA AA_JH JH_AH
MAGWITCH    M_AE AE_G G_W W_IH IH_CH
MAGPIES    M_AE AE_G G_P P_AA AA_IY IY_Z
MAGOG    M_AH AH_G G_AA AA_G
MAGNUM    M_AE AE_G G_N N_AH AH_M
MAGNILOQUENTLY    M_AE AE_G G_N N_IH IH_L L_AH AH_K K_W W_AH AH_N N_T T_L L_IY
MAGNILOQUENCE    M_AE AE_G G_N N_IH IH_L L_AH AH_K K_W W_AH AH_N N_S
MAGNIFIER    M_AE AE_G G_N N_AH AH_F F_AA AA_IY IY_UH UH_R
MAGNIFICAT    M_AE AE_G G_N N_IH IH_F F_IH IH_K K_AH AH_T
MAGNET'S    M_AE AE_G G_N N_AH AH_T T_S
MAGNETIZE    M_AE AE_G G_N N_IH IH_T T_AA AA_IY IY_Z
MAGNESIAN    M_AE AE_G G_N N_IY IY_ZH ZH_AH AH_N
MAGNATE'S    M_AE AE_G G_N N_EH EH_IY IY_T T_S
MAGLOIRE'S    M_AE AE_G G_L L_AO AO_IY IY_R R_Z
MAGLOIRE    M_AE AE_G G_L L_AO AO_IY IY_R
MAGDEBURG    M_AA AA_G G_D D_B B_UH UH_R R_G
MAGDALA    M_AA AA_G G_D D_AA AA_L L_AH
MAFIA    M_AA AA_F F_IY IY_AH
MAEVIUS    M_EH EH_IY IY_V V_IY IY_IH IH_S
MAETERLINCK'S    M_AA AA_EH EH_T T_UH UH_R R_L L_IH IH_NG NG_K K_S
MAES    M_EH EH_IY IY_Z
MAECENAS    M_AA AA_EH EH_T T_S S_IH IH_N N_AH AH_Z
MADURA    M_AA AA_D D_UH UH_R R_AH
MADRINA    M_AE AE_D D_R R_IY IY_N N_AH
MADRIGALS    M_AE AE_D D_R R_IH IH_G G_AH AH_L L_Z
MADRIGAL    M_AE AE_D D_R R_IH IH_G G_AH AH_L
MADONNAS    M_AH AH_D D_AA AA_N N_AH AH_Z
MADMAN'S    M_AE AE_D D_M M_AH AH_N N_Z
MADISON'S    M_AE AE_D D_IH IH_S S_AH AH_N N_Z
MADGE'S    M_AE AE_JH JH_IH IH_Z
MADEMOISELLE'S    M_AE AE_D D_AH AH_M M_AH AH_Z Z_EH EH_L L_Z
MADAM'S    M_AE AE_D D_AH AH_M M_Z
MACUMAZAHN    M_AH AH_K K_UW UW_M M_AH AH_Z Z_AE AE_N
MACRONES    M_AE AE_K K_R R_AO AO_UH UH_N N_Z
MACPHERSON'S    M_AH AH_K K_F F_IH IH_R R_S S_AH AH_N N_Z
MACPHERSONS    M_AH AH_K K_F F_UH UH_R R_S S_AH AH_N N_Z
MACON    M_EH EH_IY IY_K K_AH AH_N
MACLISE    M_AH AH_K K_L L_AA AA_IY IY_Z
MACLEANS    M_AH AH_K K_L L_IY IY_N N_Z
MACKWORTH'S    M_AE AE_K K_W W_UH UH_R R_TH TH_S
MACK'S    M_AE AE_K K_S
MACKINTOSH    M_AE AE_K K_AH AH_N N_T T_AA AA_SH
MACKINAWS    M_AE AE_K K_AH AH_N N_AO AO_Z
MACKINAW    M_AE AE_K K_AH AH_N N_AO
MACKIE'S    M_AE AE_K K_IY IY_Z
MACKEREL'S    M_AE AE_K K_UH UH_R R_AH AH_L L_Z
MACK    M_AE AE_K
MACHINELIKE    M_AH AH_SH SH_IY IY_N N_L L_AA AA_IY IY_K
MACHIAVEL    M_AA AA_K K_Y Y_AH AH_V V_EH EH_L
MACHETES    M_AH AH_SH SH_EH EH_T T_IY IY_Z
MACHAN    M_AE AE_K K_AH AH_N
MACH    M_AA AA_K
MACGREGOR'S    M_AH AH_G G_R R_EH EH_G G_UH UH_R R_Z
MACERATED    M_EH EH_IY IY_S S_UH UH_R R_EH EH_IY IY_T T_IH IH_D
MACEDON    M_AE AE_K K_AH AH_D D_AO AO_UH UH_N
MACDUFF    M_AH AH_K K_D D_AH AH_F
MACDONALD    M_AH AH_K K_D D_AA AA_N N_AH AH_L L_D
MACCADON    M_AH AH_K K_AA AA_D D_AO AO_N
MACAW    M_AH AH_K K_AO
MACARTNEY    M_AH AH_K K_AA AA_R R_T T_N N_IY
MACAROONS    M_AH AH_K K_UH UH_R R_UW UW_N N_Z
MACAO    M_AH AH_K K_AA AA_UH
MACALISTER    M_AH AH_K K_AE AE_L L_AH AH_S S_T T_UH UH_R
MACABRE    M_AH AH_K K_AA AA_B B_R R_AH
MABLY    M_AH AH_B B_L L_IY
MAB    M_AE AE_B
LYSTRA    L_AA AA_IY IY_S S_T T_R R_AH
LYSTER'S    L_IH IH_S S_T T_UH UH_R R_Z
LYSIPPUS    L_AA AA_IY IY_S S_IH IH_P P_AH AH_S
LYRICALLY    L_IH IH_R R_IH IH_K K_L L_IY
LYONNAIS    L_IY IY_AH AH_N N_EH EH_IY
LYONESSE    L_AA AA_IY IY_AH AH_N N_EH EH_S
LYNNEBOROUGH    L_IH IH_N N_IH IH_B B_UH UH_R R_AO AO_UH
LYNCHING    L_IH IH_N N_CH CH_IH IH_NG
LYNCHBURG    L_IH IH_N N_CH CH_B B_UH UH_R R_G
LYCIDAS    L_AA AA_IY IY_S S_AH AH_D D_AH AH_Z
LYCIAN    L_IH IH_SH SH_AH AH_N
LYCH    L_AA AA_IY IY_K
LYCAONIA    L_AA AA_IY IY_K K_AA AA_AO AO_UH UH_N N_Y Y_AH
LY    L_AA AA_IY
LUXURIOUSNESS    L_AH AH_G G_ZH ZH_UH UH_R R_IY IY_AH AH_S S_N N_AH AH_S
LUXURIATE    L_AH AH_G G_ZH ZH_UH UH_R R_IY IY_AH AH_T
LUXE    L_AH AH_K K_S
LUX    L_AH AH_K K_S
LUTTERWORTH    L_AH AH_T T_UH UH_R R_W W_UH UH_R R_TH
LUTHERS    L_UW UW_TH TH_UH UH_R R_Z
LUTES    L_UW UW_T T_S
LUSTRES    L_AH AH_S S_T T_UH UH_R R_Z
LUSTFUL    L_AH AH_S S_T T_F F_AH AH_L
LURKERS    L_UH UH_R R_K K_UH UH_R R_Z
LURCHES    L_UH UH_R R_CH CH_IH IH_Z
LUPINES    L_UW UW_P P_AA AA_IY IY_N N_Z
LUNY    L_UW UW_N N_IY
LUNKHEAD    L_AH AH_NG NG_K K_HH HH_EH EH_D
LUNIGIANA    L_UW UW_N N_IY IY_JH JH_IY IY_AE AE_N N_AH
LUNGFUL    L_AH AH_NG NG_F F_AH AH_L
LUNEBURG    L_UW UW_N N_B B_UH UH_R R_G
LUNCHES    L_AH AH_N N_CH CH_IH IH_Z
LUNCHEONS    L_AH AH_N N_CH CH_AH AH_N N_Z
LUNATIC'S    L_UW UW_N N_AH AH_T T_IH IH_K K_S
LUNA'S    L_UW UW_N N_AH AH_Z
LUMPED    L_AH AH_M M_P P_T
LUMM    L_AH AH_M
LUMBERMEN    L_AH AH_M M_B B_UH UH_R R_M M_AH AH_N
LUMBERMAN'S    L_AH AH_M M_B B_UH UH_R R_M M_AE AE_N N_Z
LUMBERJACKS    L_AH AH_M M_B B_UH UH_R R_JH JH_AE AE_K K_S
LUMBERIN    L_AH AH_M M_B B_UH UH_R R_IH IH_N
LUMBERED    L_AH AH_M M_B B_UH UH_R R_D
LULLY    L_AH AH_L L_IY
LULLI    L_UW UW_L L_IY
LULLA    L_AH AH_L L_AH
LUL    L_UW UW_L
LUKE'S    L_UW UW_K K_S
LUKA    L_UW UW_K K_AH
LUIGI'S    L_W W_IY IY_JH JH_IY IY_Z
LUGUBRIOUSLY    L_UW UW_G G_Y Y_UW UW_B B_R R_IY IY_AH AH_S S_L L_IY
LUGGERS    L_AH AH_G G_UH UH_R R_Z
LUGAL    L_UW UW_G G_AH AH_L
LUDWIG    L_AH AH_D D_W W_IH IH_G
